"FECHA_OPERACION","CONCESION","OPERADOR","MUNICIPIO_ORIGEN","LATITUD_ORIGEN","LONGITUD_ORIGEN","MUNICIPIO_DESTINO","LATITUD_DESTINO","LONGITUD_DESTINO","TIPO_CARGA","PRODUCTO","PESO","RED","VAGONES_CARGA","VAGONES_PASAJEROS","CANTIDAD_PASAJEROS"
"2022 Nov 10 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","ZIPAQUIRÁ","5,02547168537","-73,9944712419","PASAJEROS","N/A","0","PUBLICO","0","8","497"
"2022 Nov 10 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","ZIPAQUIRÁ","5,02547168537","-73,9944712419","PASAJEROS","N/A","0","PUBLICO","0","8","497"
"2022 Nov 10 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","ZIPAQUIRÁ","5,02547168537","-73,9944712419","PASAJEROS","N/A","0","PUBLICO","0","8","497"
"2022 Nov 10 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","ZIPAQUIRÁ","5,02547168537","-73,9944712419","PASAJEROS","N/A","0","PUBLICO","0","8","497"
"2022 Nov 10 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","ZIPAQUIRÁ","5,02547168537","-73,9944712419","PASAJEROS","N/A","0","PUBLICO","0","8","497"
"2022 Nov 02 12:00:00 AM","FENOCO S.A","DRUMMOND","BECERRIL","9,70460611578","-73,2792316745","CIÉNAGA","11,0066568813","-74,2412861592","CARBON AL","CAR","7.467","PUBLICO","150","0","0"
"2023 May 09 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","CHÍA","4,86606542368","-74,0503468211","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","PASAJEROS","N/A","0","PUBLICO","0","4","176"
"2023 May 09 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","CHÍA","4,86606542368","-74,0503468211","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","PASAJEROS","N/A","0","PUBLICO","0","4","176"
"2023 May 09 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","CHÍA","4,86606542368","-74,0503468211","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","PASAJEROS","N/A","0","PUBLICO","0","4","176"
"2023 May 09 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","CHÍA","4,86606542368","-74,0503468211","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","PASAJEROS","N/A","0","PUBLICO","0","4","176"
"2023 May 09 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","CHÍA","4,86606542368","-74,0503468211","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","PASAJEROS","N/A","0","PUBLICO","0","4","176"
"2023 May 09 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","CHÍA","4,86606542368","-74,0503468211","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","PASAJEROS","N/A","0","PUBLICO","0","4","176"
"2019 Apr 03 12:00:00 AM","FENOCO S.A","DRUMMOND","BECERRIL","9,70460611578","-73,2792316745","CIÉNAGA","11,0066568813","-74,2412861592","CARBON AL","CAR","7.499","PUBLICO","150","0","0"
"2022 Oct 12 12:00:00 AM","FENOCO S.A","DRUMMOND","BECERRIL","9,70460611578","-73,2792316745","CIÉNAGA","11,0066568813","-74,2412861592","CARBON AL","CAR","7.473","PUBLICO","150","0","0"
"2023 Apr 09 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","ZIPAQUIRÁ","5,02547168537","-73,9944712419","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","PASAJEROS","N/A","0","PUBLICO","0","17","590"
"2023 Apr 09 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","ZIPAQUIRÁ","5,02547168537","-73,9944712419","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","PASAJEROS","N/A","0","PUBLICO","0","17","590"
"2018 Dec 23 12:00:00 AM","FENOCO S.A","DRUMMOND","BECERRIL","9,70460611578","-73,2792316745","CIÉNAGA","11,0066568813","-74,2412861592","CARBON AL","CAR","7.479","PUBLICO","150","0","0"
"2023 Apr 09 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","ZIPAQUIRÁ","5,02547168537","-73,9944712419","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","PASAJEROS","N/A","0","PUBLICO","0","17","590"
"2023 Apr 09 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","ZIPAQUIRÁ","5,02547168537","-73,9944712419","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","PASAJEROS","N/A","0","PUBLICO","0","17","590"
"2023 Apr 09 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","ZIPAQUIRÁ","5,02547168537","-73,9944712419","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","PASAJEROS","N/A","0","PUBLICO","0","17","590"
"2023 Apr 09 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","ZIPAQUIRÁ","5,02547168537","-73,9944712419","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","PASAJEROS","N/A","0","PUBLICO","0","17","590"
"2020 Mar 11 12:00:00 AM","FENOCO S.A","DRUMMOND","LA LOMA","9,61837950111","-73,6006838538","CIÉNAGA","11,0066568813","-74,2412861592","CARBON AL","CAR","7.539","PUBLICO","150","0","0"
"2022 Jul 24 12:00:00 AM","FENOCO S.A","DRUMMOND","BECERRIL","9,70460611578","-73,2792316745","CIÉNAGA","11,0066568813","-74,2412861592","CARBON AL","CAR","7.491","PUBLICO","150","0","0"
"2018 Sep 15 12:00:00 AM","FENOCO S.A","DRUMMOND","LA LOMA","9,61837950111","-73,6006838538","CIÉNAGA","11,0066568813","-74,2412861592","CARBON AL","CAR","7.416","PUBLICO","150","0","0"
"2021 Jan 23 12:00:00 AM","FENOCO S.A","DRUMMOND","BECERRIL","9,70460611578","-73,2792316745","CIÉNAGA","11,0066568813","-74,2412861592","CARBON AL","CAR","7.506","PUBLICO","150","0","0"
"2019 Dec 03 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","ZIPAQUIRÁ","5,02547168537","-73,9944712419","PASAJEROS","N/A","0","PUBLICO","0","3","112"
"2019 Dec 03 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","ZIPAQUIRÁ","5,02547168537","-73,9944712419","PASAJEROS","N/A","0","PUBLICO","0","3","112"
"2019 Dec 03 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","ZIPAQUIRÁ","5,02547168537","-73,9944712419","PASAJEROS","N/A","0","PUBLICO","0","3","112"
"2019 Dec 03 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","ZIPAQUIRÁ","5,02547168537","-73,9944712419","PASAJEROS","N/A","0","PUBLICO","0","3","112"
"2019 Dec 03 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","ZIPAQUIRÁ","5,02547168537","-73,9944712419","PASAJEROS","N/A","0","PUBLICO","0","3","112"
"2019 Dec 03 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","ZIPAQUIRÁ","5,02547168537","-73,9944712419","PASAJEROS","N/A","0","PUBLICO","0","3","112"
"2019 Feb 03 12:00:00 AM","FENOCO S.A","DRUMMOND","LA LOMA","9,61837950111","-73,6006838538","CIÉNAGA","11,0066568813","-74,2412861592","CARBON AL","CAR","7.527","PUBLICO","150","0","0"
"2020 Apr 17 12:00:00 AM","FENOCO S.A","CI PRODECO","EL PASO","9,668470391","-73,7417884838","CIÉNAGA","11,0066568813","-74,2412861592","CARBON AL","CAR","0","PUBLICO","0","0","0"
"2020 Jan 31 12:00:00 AM","FENOCO S.A","DRUMMOND","BECERRIL","9,70460611578","-73,2792316745","CIÉNAGA","11,0066568813","-74,2412861592","CARBON AL","CAR","7.501","PUBLICO","150","0","0"
"2020 Jul 16 12:00:00 AM","FENOCO S.A","DRUMMOND","LA LOMA","9,61837950111","-73,6006838538","CIÉNAGA","11,0066568813","-74,2412861592","CARBON AL","CAR","7.517","PUBLICO","150","0","0"
"2019 Jun 22 12:00:00 AM","FENOCO S.A","DRUMMOND","BECERRIL","9,70460611578","-73,2792316745","CIÉNAGA","11,0066568813","-74,2412861592","CARBON AL","CAR","7.491","PUBLICO","150","0","0"
"2019 Nov 08 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","CHÍA","4,86606542368","-74,0503468211","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","PASAJEROS","N/A","0","PUBLICO","0","5","109"
"2019 Nov 08 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","CHÍA","4,86606542368","-74,0503468211","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","PASAJEROS","N/A","0","PUBLICO","0","5","109"
"2019 Nov 08 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","CHÍA","4,86606542368","-74,0503468211","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","PASAJEROS","N/A","0","PUBLICO","0","5","109"
"2019 Nov 08 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","CHÍA","4,86606542368","-74,0503468211","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","PASAJEROS","N/A","0","PUBLICO","0","5","109"
"2019 Nov 08 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","CHÍA","4,86606542368","-74,0503468211","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","PASAJEROS","N/A","0","PUBLICO","0","5","109"
"2019 Nov 08 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","CHÍA","4,86606542368","-74,0503468211","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","PASAJEROS","N/A","0","PUBLICO","0","5","109"
"2022 Nov 10 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","CHÍA","4,86606542368","-74,0503468211","PASAJEROS","N/A","0","PUBLICO","0","3","55"
"2022 Nov 10 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","CHÍA","4,86606542368","-74,0503468211","PASAJEROS","N/A","0","PUBLICO","0","3","55"
"2022 Nov 10 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","CHÍA","4,86606542368","-74,0503468211","PASAJEROS","N/A","0","PUBLICO","0","3","55"
"2022 Nov 10 12:00:00 AM","CONSORCIO IBINES FERREO","TURISTREN SAS","BOGOTÁ, DISTRITO CAPITAL","4,65017303026","-74,1073590032","CHÍA","4,86606542368","-74,0503468211","PASAJEROS","N/A","0","PUBLICO","0","3","55"
